Kategori,Kommune,År,Verdi,Type
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Skien,2020,1.272890426820313,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Skien,2021,1.2756957601573253,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Skien,2022,1.0558877176186567,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Skien,2023,0.9418490704332897,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Skien,2024,0.9729537979902618,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2019,8.642471690555787,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2020,8.511549309708299,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2021,8.419624854624843,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2022,8.233001506125495,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2023,8.257524365300185,
"Boliger, igangs. siste 4 år, gj.avst. sentrumssone. Km",Siljan,2024,8.12852634776422,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2019,1.5247439856803635,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2020,1.5374061320311736,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2021,1.5463753418081194,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2022,1.5640790094757016,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2023,1.5771714248516937,
Næringsbyggs nærhet til sentrumssone. Kilometer,Porsgrunn,2024,1.6036449375075224,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2019,1.305683546218718,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2020,1.3158863665927933,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2021,1.3395334766650986,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2022,1.345238161530469,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2023,1.3546525799714175,
Næringsbyggs nærhet til sentrumssone. Kilometer,Skien,2024,1.3533013010800075,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2019,10.464543869257575,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2020,10.455492645538143,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2021,10.455492645538143,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2022,10.455492645538143,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2023,10.414437774117113,
Næringsbyggs nærhet til sentrumssone. Kilometer,Siljan,2024,10.4143741142832,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2019,1.91580999193369,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2020,2.0128516183211147,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2021,2.020373799054472,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2022,2.424222924842207,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2023,2.6184252209704972,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Porsgrunn,2024,2.9852363245221785,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2019,0.7159781166154584,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2020,0.6637208080995434,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2021,1.3578559859503605,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2022,1.342683402312593,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2023,1.5698811697304054,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Skien,2024,1.431162207187313,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Siljan,2019,9.944918554180358,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Siljan,2020,10.019181125470583,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Siljan,2021,10.093443696760808,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Siljan,2022,10.093443696760808,
"Næringsbyggs nærhet til sentrumssone, bygg igangsatt siste 4 år. Kilometer",Siljan,2023,10.093443696760808,
Godkjent nydyrket areal. Dekar,Porsgrunn,2016,0.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2017,20.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2018,0.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2019,0.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2020,,
Godkjent nydyrket areal. Dekar,Porsgrunn,2021,0.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2022,0.0,
Godkjent nydyrket areal. Dekar,Porsgrunn,2023,0.0,
Godkjent nydyrket areal. Dekar,Skien,2016,0.0,
Godkjent nydyrket areal. Dekar,Skien,2017,0.0,
Godkjent nydyrket areal. Dekar,Skien,2018,8.0,
Godkjent nydyrket areal. Dekar,Skien,2019,58.0,
Godkjent nydyrket areal. Dekar,Skien,2020,6.0,
Godkjent nydyrket areal. Dekar,Skien,2021,0.0,
Godkjent nydyrket areal. Dekar,Skien,2022,0.0,
Godkjent nydyrket areal. Dekar,Skien,2023,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2016,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2017,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2018,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2019,1.0,
Godkjent nydyrket areal. Dekar,Siljan,2020,,
Godkjent nydyrket areal. Dekar,Siljan,2021,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2022,0.0,
Godkjent nydyrket areal. Dekar,Siljan,2023,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2016,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2017,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2018,1.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2019,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2020,21.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2021,12.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2022,33.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Porsgrunn,2023,14.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2016,13.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2017,12.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2018,16.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2019,30.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2020,16.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2021,1.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2022,388.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Skien,2023,25.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2016,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2017,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2018,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2019,1.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2020,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2021,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2022,0.0,
Omdisponering av dyrkbar jord siste 4 år. Dekar,Siljan,2023,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2016,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2017,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2018,33.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2019,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2020,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2021,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2022,52.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Porsgrunn,2023,23.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2016,20.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2017,3.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2018,2.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2019,81.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2020,4.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2021,6.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2022,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Skien,2023,12.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2016,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2017,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2018,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2019,15.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2020,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2021,0.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2022,1.0,
Omdisponering av dyrket jord siste 4 år. Dekar,Siljan,2023,0.0,
Andel sysselsatte bosatt i egen kommune. Prosent,Porsgrunn,2019,50.853835021707674,
Andel sysselsatte bosatt i egen kommune. Prosent,Porsgrunn,2020,50.27242369207335,
Andel sysselsatte bosatt i egen kommune. Prosent,Porsgrunn,2021,49.607157194471526,
Andel sysselsatte bosatt i egen kommune. Prosent,Porsgrunn,2022,49.77421539850982,
Andel sysselsatte bosatt i egen kommune. Prosent,Skien,2019,67.10648866811549,
Andel sysselsatte bosatt i egen kommune. Prosent,Skien,2020,66.69010782934834,
Andel sysselsatte bosatt i egen kommune. Prosent,Skien,2021,65.99733282530006,
Andel sysselsatte bosatt i egen kommune. Prosent,Skien,2022,65.5659664500529,
Andel sysselsatte bosatt i egen kommune. Prosent,Siljan,2019,29.138513513513516,
Andel sysselsatte bosatt i egen kommune. Prosent,Siljan,2020,29.686174724342663,
Andel sysselsatte bosatt i egen kommune. Prosent,Siljan,2021,27.68313458262351,
Andel sysselsatte bosatt i egen kommune. Prosent,Siljan,2022,25.12690355329949,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Porsgrunn,2019,9.7,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Porsgrunn,2020,9.1,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Porsgrunn,2021,9.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Porsgrunn,2022,9.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Porsgrunn,2023,9.31952662721894,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Skien,2019,10.4,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Skien,2020,9.8,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Skien,2021,9.9,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Skien,2022,9.7,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Skien,2023,10.3968501481366,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Siljan,2019,0.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Siljan,2020,0.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Siljan,2021,0.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Siljan,2022,0.0,
Andel som arbeider i hovedsentrum i egen kommune. Prosent,Siljan,2023,0.0,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2019,0.10409977053995868,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2020,0.10376613619826575,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2021,0.10320655056960512,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2022,0.10269618798620662,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2023,0.10173122599607015,
Boligenes gj.avst. til arbeidsplassklynger. Km,Porsgrunn,2024,0.1016292004251826,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2019,0.27905512102709173,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2020,0.27596810113322234,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2021,0.2749106448254177,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2022,0.2716290150096516,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2023,0.27050571309536126,
Boligenes gj.avst. til arbeidsplassklynger. Km,Skien,2024,0.2684574931686273,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2019,1.4823380911337494,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2020,1.4630941797822452,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2021,1.366726844785744,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2022,1.3484532160751612,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2023,1.3418176633395145,
Boligenes gj.avst. til arbeidsplassklynger. Km,Siljan,2024,1.3394864668335622,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2019,0.09941054455367543,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2020,0.10206046103040319,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2021,0.10856545840042563,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2022,0.08205283161596616,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2023,0.05635940135602963,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Porsgrunn,2024,0.05832250517169645,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2019,0.13081550282466334,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2020,0.13692400984685663,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2021,0.14868545587530763,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2022,0.11490869224336568,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2023,0.1392041651599253,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Skien,2024,0.1337818607359528,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2019,0.20287762798853098,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2020,0.25858542476489954,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2021,0.2088160352064931,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2022,0.2330822494762532,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2023,0.2861947612622284,
"Boliger igangs. siste 4 år, gj.avst. til arbeidsplassklynger. Km",Siljan,2024,0.08491840983137482,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2019,2.079526779583877,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2020,2.079752383983211,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2021,2.078147829640579,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2022,2.0714072554816383,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2023,2.0667231569808284,
"Boliger, gj.avst. sentrumssone. Km",Porsgrunn,2024,2.051459842258651,
"Boliger, gj.avst. sentrumssone. Km",Skien,2019,1.5952516161633286,
"Boliger, gj.avst. sentrumssone. Km",Skien,2020,1.5867022448118853,
"Boliger, gj.avst. sentrumssone. Km",Skien,2021,1.5857976310381028,
"Boliger, gj.avst. sentrumssone. Km",Skien,2022,1.5745768389641566,
"Boliger, gj.avst. sentrumssone. Km",Skien,2023,1.5665649956208116,
"Boliger, gj.avst. sentrumssone. Km",Skien,2024,1.5609281222926907,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2019,10.052591099245392,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2020,10.030081277117603,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2021,9.98895134744634,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2022,9.962505220417656,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2023,9.952773612721929,
"Boliger, gj.avst. sentrumssone. Km",Siljan,2024,9.949516559958573,
