municipality_code,municipality_name,year,age_interval,housing_demand
4001,Porsgrunn,2035,INTERVAL_80_INF,2483
4001,Porsgrunn,2036,INTERVAL_0_14,0
4001,Porsgrunn,2036,INTERVAL_15_19,64
4001,Porsgrunn,2036,INTERVAL_20_24,711
4001,Porsgrunn,2036,INTERVAL_25_29,1035
4001,Porsgrunn,2036,INTERVAL_30_39,2562
4001,Porsgrunn,2036,INTERVAL_40_49,3122
4001,Porsgrunn,2036,INTERVAL_50_59,3046
4001,Porsgrunn,2036,INTERVAL_60_69,3420
4001,Porsgrunn,2036,INTERVAL_70_79,2889
4001,Porsgrunn,2036,INTERVAL_80_INF,2545
4001,Porsgrunn,2037,INTERVAL_0_14,0
4001,Porsgrunn,2037,INTERVAL_15_19,63
4001,Porsgrunn,2037,INTERVAL_20_24,711
4001,Porsgrunn,2037,INTERVAL_25_29,1034
4001,Porsgrunn,2037,INTERVAL_30_39,2536
4001,Porsgrunn,2037,INTERVAL_40_49,3150
4001,Porsgrunn,2037,INTERVAL_50_59,3053
4001,Porsgrunn,2037,INTERVAL_60_69,3398
4001,Porsgrunn,2037,INTERVAL_70_79,2929
4001,Porsgrunn,2037,INTERVAL_80_INF,2620
4001,Porsgrunn,2038,INTERVAL_0_14,0
4001,Porsgrunn,2038,INTERVAL_15_19,63
4001,Porsgrunn,2038,INTERVAL_20_24,698
4001,Porsgrunn,2038,INTERVAL_25_29,1037
4001,Porsgrunn,2038,INTERVAL_30_39,2520
4001,Porsgrunn,2038,INTERVAL_40_49,3166
4001,Porsgrunn,2038,INTERVAL_50_59,3081
4001,Porsgrunn,2038,INTERVAL_60_69,3354
4001,Porsgrunn,2038,INTERVAL_70_79,2977
4001,Porsgrunn,2038,INTERVAL_80_INF,2684
4001,Porsgrunn,2039,INTERVAL_0_14,0
4001,Porsgrunn,2039,INTERVAL_15_19,62
4001,Porsgrunn,2039,INTERVAL_20_24,694
4001,Porsgrunn,2039,INTERVAL_25_29,1026
4001,Porsgrunn,2039,INTERVAL_30_39,2517
4001,Porsgrunn,2039,INTERVAL_40_49,3152
4001,Porsgrunn,2039,INTERVAL_50_59,3120
4001,Porsgrunn,2039,INTERVAL_60_69,3325
4001,Porsgrunn,2039,INTERVAL_70_79,3032
4001,Porsgrunn,2039,INTERVAL_80_INF,2736
4001,Porsgrunn,2040,INTERVAL_0_14,0
4001,Porsgrunn,2040,INTERVAL_15_19,62
4001,Porsgrunn,2040,INTERVAL_20_24,687
4001,Porsgrunn,2040,INTERVAL_25_29,1014
4001,Porsgrunn,2040,INTERVAL_30_39,2519
4001,Porsgrunn,2040,INTERVAL_40_49,3127
4001,Porsgrunn,2040,INTERVAL_50_59,3169
4001,Porsgrunn,2040,INTERVAL_60_69,3276
4001,Porsgrunn,2040,INTERVAL_70_79,3104
4001,Porsgrunn,2040,INTERVAL_80_INF,2786
4001,Porsgrunn,2041,INTERVAL_0_14,0
4001,Porsgrunn,2041,INTERVAL_15_19,62
4001,Porsgrunn,2041,INTERVAL_20_24,674
4001,Porsgrunn,2041,INTERVAL_25_29,1001
4001,Porsgrunn,2041,INTERVAL_30_39,2520
4001,Porsgrunn,2041,INTERVAL_40_49,3104
4001,Porsgrunn,2041,INTERVAL_50_59,3231
4001,Porsgrunn,2041,INTERVAL_60_69,3229
4001,Porsgrunn,2041,INTERVAL_70_79,3153
4001,Porsgrunn,2041,INTERVAL_80_INF,2843
4001,Porsgrunn,2042,INTERVAL_0_14,0
4001,Porsgrunn,2042,INTERVAL_15_19,62
4001,Porsgrunn,2042,INTERVAL_20_24,668
4001,Porsgrunn,2042,INTERVAL_25_29,998
4001,Porsgrunn,2042,INTERVAL_30_39,2518
4001,Porsgrunn,2042,INTERVAL_40_49,3079
4001,Porsgrunn,2042,INTERVAL_50_59,3261
4001,Porsgrunn,2042,INTERVAL_60_69,3200
4001,Porsgrunn,2042,INTERVAL_70_79,3219
4001,Porsgrunn,2042,INTERVAL_80_INF,2883
4001,Porsgrunn,2043,INTERVAL_0_14,0
4001,Porsgrunn,2043,INTERVAL_15_19,63
4001,Porsgrunn,2043,INTERVAL_20_24,663
4001,Porsgrunn,2043,INTERVAL_25_29,984
4001,Porsgrunn,2043,INTERVAL_30_39,2528
4001,Porsgrunn,2043,INTERVAL_40_49,3039
4001,Porsgrunn,2043,INTERVAL_50_59,3302
4001,Porsgrunn,2043,INTERVAL_60_69,3173
4001,Porsgrunn,2043,INTERVAL_70_79,3286
4001,Porsgrunn,2043,INTERVAL_80_INF,2914
4001,Porsgrunn,2044,INTERVAL_0_14,0
4001,Porsgrunn,2044,INTERVAL_15_19,63
4001,Porsgrunn,2044,INTERVAL_20_24,655
4001,Porsgrunn,2044,INTERVAL_25_29,976
4001,Porsgrunn,2044,INTERVAL_30_39,2528
4001,Porsgrunn,2044,INTERVAL_40_49,3025
4001,Porsgrunn,2044,INTERVAL_50_59,3329
4001,Porsgrunn,2044,INTERVAL_60_69,3154
4001,Porsgrunn,2044,INTERVAL_70_79,3302
4001,Porsgrunn,2044,INTERVAL_80_INF,2980
4001,Porsgrunn,2045,INTERVAL_0_14,0
4001,Porsgrunn,2045,INTERVAL_15_19,64
4001,Porsgrunn,2045,INTERVAL_20_24,651
4001,Porsgrunn,2045,INTERVAL_25_29,967
4001,Porsgrunn,2045,INTERVAL_30_39,2525
4001,Porsgrunn,2045,INTERVAL_40_49,2995
4001,Porsgrunn,2045,INTERVAL_50_59,3372
4001,Porsgrunn,2045,INTERVAL_60_69,3130
4001,Porsgrunn,2045,INTERVAL_70_79,3309
4001,Porsgrunn,2045,INTERVAL_80_INF,3062
4001,Porsgrunn,2046,INTERVAL_0_14,0
4001,Porsgrunn,2046,INTERVAL_15_19,64
4001,Porsgrunn,2046,INTERVAL_20_24,653
4001,Porsgrunn,2046,INTERVAL_25_29,953
4001,Porsgrunn,2046,INTERVAL_30_39,2516
4001,Porsgrunn,2046,INTERVAL_40_49,2978
4001,Porsgrunn,2046,INTERVAL_50_59,3401
4001,Porsgrunn,2046,INTERVAL_60_69,3131
4001,Porsgrunn,2046,INTERVAL_70_79,3298
4001,Porsgrunn,2046,INTERVAL_80_INF,3138
4001,Porsgrunn,2047,INTERVAL_0_14,0
4001,Porsgrunn,2047,INTERVAL_15_19,65
4001,Porsgrunn,2047,INTERVAL_20_24,649
4001,Porsgrunn,2047,INTERVAL_25_29,944
4001,Porsgrunn,2047,INTERVAL_30_39,2510
4001,Porsgrunn,2047,INTERVAL_40_49,2955
4001,Porsgrunn,2047,INTERVAL_50_59,3426
4001,Porsgrunn,2047,INTERVAL_60_69,3147
4001,Porsgrunn,2047,INTERVAL_70_79,3285
4001,Porsgrunn,2047,INTERVAL_80_INF,3216
4001,Porsgrunn,2048,INTERVAL_0_14,0
4001,Porsgrunn,2048,INTERVAL_15_19,65
4001,Porsgrunn,2048,INTERVAL_20_24,653
4001,Porsgrunn,2048,INTERVAL_25_29,935
4001,Porsgrunn,2048,INTERVAL_30_39,2495
4001,Porsgrunn,2048,INTERVAL_40_49,2938
4001,Porsgrunn,2048,INTERVAL_50_59,3440
4001,Porsgrunn,2048,INTERVAL_60_69,3177
4001,Porsgrunn,2048,INTERVAL_70_79,3248
4001,Porsgrunn,2048,INTERVAL_80_INF,3298
4001,Porsgrunn,2049,INTERVAL_0_14,0
4001,Porsgrunn,2049,INTERVAL_15_19,65
4001,Porsgrunn,2049,INTERVAL_20_24,658
4001,Porsgrunn,2049,INTERVAL_25_29,924
4001,Porsgrunn,2049,INTERVAL_30_39,2475
4001,Porsgrunn,2049,INTERVAL_40_49,2934
4001,Porsgrunn,2049,INTERVAL_50_59,3425
4001,Porsgrunn,2049,INTERVAL_60_69,3218
4001,Porsgrunn,2049,INTERVAL_70_79,3226
