Kommunenummer,Kommune,År,Aldersgruppe,Indeks
4032,Fyresdal,2030-01-01,70+,110.0
4032,Fyresdal,2031-01-01,0-69,98.4
4032,Fyresdal,2031-01-01,70+,116.1
4032,Fyresdal,2032-01-01,0-69,97.4
4032,Fyresdal,2032-01-01,70+,118.9
4032,Fyresdal,2033-01-01,0-69,97.4
4032,Fyresdal,2033-01-01,70+,121.1
4032,Fyresdal,2034-01-01,0-69,97.7
4032,Fyresdal,2034-01-01,70+,121.1
4032,Fyresdal,2035-01-01,0-69,97.0
4032,Fyresdal,2035-01-01,70+,124.4
4032,Fyresdal,2036-01-01,0-69,96.7
4032,Fyresdal,2036-01-01,70+,127.2
4032,Fyresdal,2037-01-01,0-69,95.6
4032,Fyresdal,2037-01-01,70+,130.0
4032,Fyresdal,2038-01-01,0-69,96.5
4032,Fyresdal,2038-01-01,70+,131.1
4032,Fyresdal,2039-01-01,0-69,95.6
4032,Fyresdal,2039-01-01,70+,131.1
4032,Fyresdal,2040-01-01,0-69,95.1
4032,Fyresdal,2040-01-01,70+,134.4
4032,Fyresdal,2041-01-01,0-69,94.2
4032,Fyresdal,2041-01-01,70+,137.8
4032,Fyresdal,2042-01-01,0-69,92.8
4032,Fyresdal,2042-01-01,70+,143.3
4032,Fyresdal,2043-01-01,0-69,92.6
4032,Fyresdal,2043-01-01,70+,142.8
4032,Fyresdal,2044-01-01,0-69,92.1
4032,Fyresdal,2044-01-01,70+,144.4
4032,Fyresdal,2045-01-01,0-69,92.1
4032,Fyresdal,2045-01-01,70+,146.1
4032,Fyresdal,2046-01-01,0-69,92.6
4032,Fyresdal,2046-01-01,70+,142.8
4032,Fyresdal,2047-01-01,0-69,91.4
4032,Fyresdal,2047-01-01,70+,148.3
4032,Fyresdal,2048-01-01,0-69,90.5
4032,Fyresdal,2048-01-01,70+,150.0
4032,Fyresdal,2049-01-01,0-69,90.9
4032,Fyresdal,2049-01-01,70+,147.8
4032,Fyresdal,2050-01-01,0-69,90.7
4032,Fyresdal,2050-01-01,70+,148.9
4034,Tokke,2026-01-01,0-69,100.0
4034,Tokke,2026-01-01,70+,100.0
4034,Tokke,2027-01-01,0-69,98.5
4034,Tokke,2027-01-01,70+,103.3
4034,Tokke,2028-01-01,0-69,98.9
4034,Tokke,2028-01-01,70+,103.3
4034,Tokke,2029-01-01,0-69,97.6
4034,Tokke,2029-01-01,70+,109.2
4034,Tokke,2030-01-01,0-69,96.5
4034,Tokke,2030-01-01,70+,113.2
4034,Tokke,2031-01-01,0-69,96.0
4034,Tokke,2031-01-01,70+,115.8
4034,Tokke,2032-01-01,0-69,95.6
4034,Tokke,2032-01-01,70+,118.8
4034,Tokke,2033-01-01,0-69,94.7
4034,Tokke,2033-01-01,70+,121.7
4034,Tokke,2034-01-01,0-69,94.3
4034,Tokke,2034-01-01,70+,123.7
4034,Tokke,2035-01-01,0-69,93.8
4034,Tokke,2035-01-01,70+,126.0
4034,Tokke,2036-01-01,0-69,93.8
4034,Tokke,2036-01-01,70+,126.0
4034,Tokke,2037-01-01,0-69,93.8
4034,Tokke,2037-01-01,70+,126.6
4034,Tokke,2038-01-01,0-69,92.3
4034,Tokke,2038-01-01,70+,131.2
4034,Tokke,2039-01-01,0-69,92.0
4034,Tokke,2039-01-01,70+,134.2
4034,Tokke,2040-01-01,0-69,92.2
4034,Tokke,2040-01-01,70+,134.5
4034,Tokke,2041-01-01,0-69,91.2
4034,Tokke,2041-01-01,70+,136.2
4034,Tokke,2042-01-01,0-69,90.7
4034,Tokke,2042-01-01,70+,139.1
4034,Tokke,2043-01-01,0-69,90.3
4034,Tokke,2043-01-01,70+,139.1
4034,Tokke,2044-01-01,0-69,90.0
4034,Tokke,2044-01-01,70+,140.5
4034,Tokke,2045-01-01,0-69,89.5
4034,Tokke,2045-01-01,70+,142.1
4034,Tokke,2046-01-01,0-69,88.8
4034,Tokke,2046-01-01,70+,143.1
4034,Tokke,2047-01-01,0-69,89.4
4034,Tokke,2047-01-01,70+,142.4
4034,Tokke,2048-01-01,0-69,88.8
4034,Tokke,2048-01-01,70+,143.8
4034,Tokke,2049-01-01,0-69,88.8
4034,Tokke,2049-01-01,70+,143.4
4034,Tokke,2050-01-01,0-69,88.8
4034,Tokke,2050-01-01,70+,143.1
4036,Vinje,2026-01-01,0-69,100.0
4036,Vinje,2026-01-01,70+,100.0
4036,Vinje,2027-01-01,0-69,100.0
4036,Vinje,2027-01-01,70+,102.9
4036,Vinje,2028-01-01,0-69,99.5
4036,Vinje,2028-01-01,70+,105.6
4036,Vinje,2029-01-01,0-69,99.5
4036,Vinje,2029-01-01,70+,107.9
4036,Vinje,2030-01-01,0-69,99.5
4036,Vinje,2030-01-01,70+,110.2
4036,Vinje,2031-01-01,0-69,99.2
4036,Vinje,2031-01-01,70+,112.1
4036,Vinje,2032-01-01,0-69,99.2
4036,Vinje,2032-01-01,70+,114.4
4036,Vinje,2033-01-01,0-69,99.1
4036,Vinje,2033-01-01,70+,116.5
4036,Vinje,2034-01-01,0-69,99.1
4036,Vinje,2034-01-01,70+,118.6
4036,Vinje,2035-01-01,0-69,98.4
4036,Vinje,2035-01-01,70+,121.1
4036,Vinje,2036-01-01,0-69,97.9
4036,Vinje,2036-01-01,70+,123.9
4036,Vinje,2037-01-01,0-69,97.2
4036,Vinje,2037-01-01,70+,127.2
4036,Vinje,2038-01-01,0-69,96.6
4036,Vinje,2038-01-01,70+,130.3
4036,Vinje,2039-01-01,0-69,96.2
4036,Vinje,2039-01-01,70+,131.6
4036,Vinje,2040-01-01,0-69,95.7
4036,Vinje,2040-01-01,70+,133.7
4036,Vinje,2041-01-01,0-69,94.8
4036,Vinje,2041-01-01,70+,137.0
4036,Vinje,2042-01-01,0-69,94.3
4036,Vinje,2042-01-01,70+,139.7
4036,Vinje,2043-01-01,0-69,93.7
4036,Vinje,2043-01-01,70+,141.8
4036,Vinje,2044-01-01,0-69,93.3
4036,Vinje,2044-01-01,70+,143.3
4036,Vinje,2045-01-01,0-69,93.5
4036,Vinje,2045-01-01,70+,143.1
4036,Vinje,2046-01-01,0-69,93.4
4036,Vinje,2046-01-01,70+,144.3
4036,Vinje,2047-01-01,0-69,93.6
4036,Vinje,2047-01-01,70+,144.3
4036,Vinje,2048-01-01,0-69,93.5
4036,Vinje,2048-01-01,70+,145.0
4036,Vinje,2049-01-01,0-69,93.9
4036,Vinje,2049-01-01,70+,144.3
4036,Vinje,2050-01-01,0-69,93.7
4036,Vinje,2050-01-01,70+,145.0
40,Telemark,2026-01-01,0-69,100.0
40,Telemark,2026-01-01,70+,100.0
40,Telemark,2027-01-01,0-69,100.0
40,Telemark,2027-01-01,70+,102.9
40,Telemark,2028-01-01,0-69,100.0
40,Telemark,2028-01-01,70+,105.5
40,Telemark,2029-01-01,0-69,100.0
40,Telemark,2029-01-01,70+,108.0
40,Telemark,2030-01-01,0-69,100.1
40,Telemark,2030-01-01,70+,110.2
40,Telemark,2031-01-01,0-69,100.2
40,Telemark,2031-01-01,70+,112.2
40,Telemark,2032-01-01,0-69,100.3
40,Telemark,2032-01-01,70+,114.1
40,Telemark,2033-01-01,0-69,100.3
40,Telemark,2033-01-01,70+,116.1
40,Telemark,2034-01-01,0-69,100.2
40,Telemark,2034-01-01,70+,118.1
40,Telemark,2035-01-01,0-69,100.1
40,Telemark,2035-01-01,70+,120.3
40,Telemark,2036-01-01,0-69,99.9
40,Telemark,2036-01-01,70+,122.5
40,Telemark,2037-01-01,0-69,99.7
40,Telemark,2037-01-01,70+,124.9
40,Telemark,2038-01-01,0-69,99.4
40,Telemark,2038-01-01,70+,127.2
40,Telemark,2039-01-01,0-69,99.1
40,Telemark,2039-01-01,70+,129.2
40,Telemark,2040-01-01,0-69,98.8
40,Telemark,2040-01-01,70+,131.3
40,Telemark,2041-01-01,0-69,98.5
40,Telemark,2041-01-01,70+,133.4
40,Telemark,2042-01-01,0-69,98.2
40,Telemark,2042-01-01,70+,135.4
40,Telemark,2043-01-01,0-69,97.8
40,Telemark,2043-01-01,70+,137.5
40,Telemark,2044-01-01,0-69,97.5
40,Telemark,2044-01-01,70+,139.0
40,Telemark,2045-01-01,0-69,97.3
40,Telemark,2045-01-01,70+,140.5
40,Telemark,2046-01-01,0-69,97.2
40,Telemark,2046-01-01,70+,141.7
40,Telemark,2047-01-01,0-69,97.1
40,Telemark,2047-01-01,70+,142.8
40,Telemark,2048-01-01,0-69,97.1
40,Telemark,2048-01-01,70+,143.5
40,Telemark,2049-01-01,0-69,97.1
40,Telemark,2049-01-01,70+,144.2
40,Telemark,2050-01-01,0-69,97.1
40,Telemark,2050-01-01,70+,145.0
