;Hele landet;Vestfold;Telemark
Kommuneforvaltning;11,40 %;14,30 %;15,50 %
Helse- og omsorgstj.;11,30 %;13,40 %;14,10 %
Statsforvaltning;9,70 %;8,30 %;7,40 %
Varehandel;8,10 %;10,50 %;7,60 %
Industri;6,90 %;10,60 %;11,60 %
Offentlig administrasjon;6,80 %;6,30 %;5,60 %
Bygg- og anlegg;6,70 %;8,60 %;7,40 %
Undervisning;5,40 %;5,70 %;6,10 %
Faglig, vitenskapelig og teknisk tjenesteyting;5,00 %;3,90 %;4,20 %
Finansiering og forsikring;4,80 %;1,60 %;2,00 %
Informasjon og kommunikasjon;4,50 %;2,80 %;1,70 %
