Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2019,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",109.212852428089
Hele landet,2019,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",85.9581205709162
Hele landet,2019,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",93.3070200728943
Hele landet,2019,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",93.0312565052358
Hele landet,2019,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",94.0098137845957
Hele landet,2019,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",110.103453409732
Hele landet,2019,menn,0-74 år,Skader,"per 1000, standardisert",102.792977958091
Hele landet,2019,menn,0-44 år,Skader,"per 1000, standardisert",108.82044191203
Hele landet,2019,menn,0-24 år,Skader,"per 1000, standardisert",120.317598117885
Hele landet,2019,menn,0-14 år,Skader,"per 1000, standardisert",119.631714499974
Hele landet,2019,menn,15-24 år,Skader,"per 1000, standardisert",121.407425591793
Hele landet,2019,menn,25-44 år,Skader,"per 1000, standardisert",97.1791934491248
Hele landet,2019,menn,45-74 år,Skader,"per 1000, standardisert",93.3768325649842
Hele landet,2019,menn,45-64 år,Skader,"per 1000, standardisert",93.9076922358683
Hele landet,2019,menn,65-74 år,Skader,"per 1000, standardisert",91.9660540902578
Hele landet,2019,menn,75-79 år,Skader,"per 1000, standardisert",104.967327712447
Hele landet,2019,kvinner,0-74 år,Skader,"per 1000, standardisert",88.7776661633248
Hele landet,2019,kvinner,0-44 år,Skader,"per 1000, standardisert",85.8284029076618
Hele landet,2019,kvinner,0-24 år,Skader,"per 1000, standardisert",97.1905891800927
Hele landet,2019,kvinner,0-14 år,Skader,"per 1000, standardisert",97.9938326353343
Hele landet,2019,kvinner,15-24 år,Skader,"per 1000, standardisert",96.2890784259986
Hele landet,2019,kvinner,25-44 år,Skader,"per 1000, standardisert",74.2092797250083
Hele landet,2019,kvinner,45-74 år,Skader,"per 1000, standardisert",93.230907871448
Hele landet,2019,kvinner,45-64 år,Skader,"per 1000, standardisert",92.1125272455323
Hele landet,2019,kvinner,65-74 år,Skader,"per 1000, standardisert",96.0102909734596
Hele landet,2019,kvinner,75-79 år,Skader,"per 1000, standardisert",114.864692117707
Hele landet,2020,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",89.6325479424583
Hele landet,2020,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",89.9291116556493
Hele landet,2020,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",99.6767892382789
Hele landet,2020,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",101.524462924121
Hele landet,2020,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",97.2940200236973
Hele landet,2020,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",80.055957510106
Hele landet,2020,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",89.193084991424
Hele landet,2020,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",88.8174495285054
Hele landet,2020,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",90.1535431169612
Hele landet,2020,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",105.666214278945
Hele landet,2020,menn,0-74 år,Skader,"per 1000, standardisert",96.1761753387349
Hele landet,2020,menn,0-44 år,Skader,"per 1000, standardisert",100.237854891442
Hele landet,2020,menn,0-24 år,Skader,"per 1000, standardisert",110.24292410519
Hele landet,2020,menn,0-14 år,Skader,"per 1000, standardisert",111.979429073087
Hele landet,2020,menn,15-24 år,Skader,"per 1000, standardisert",108.001362916203
