Kommune;År;Sektor;Utslipp
Fyresdal;2009;Jordbruk;2495,230065
Fyresdal;2009;Luftfart;0,166679051
Fyresdal;2009;Oppvarming;526,7816975
Fyresdal;2009;Sjøfart;0
Fyresdal;2009;Veitrafikk;1385,039487
Fyresdal;2011;Annen mobil forbrenning;1099,176838
Fyresdal;2011;Avfall og avløp;651,8832605
Fyresdal;2011;Energiforsyning;0
Fyresdal;2011;Industri, olje og gass;0
Fyresdal;2011;Jordbruk;2202,187901
Fyresdal;2011;Luftfart;0,075675676
Fyresdal;2011;Oppvarming;455,515644
Fyresdal;2011;Sjøfart;0
Fyresdal;2011;Veitrafikk;1356,588088
Fyresdal;2013;Annen mobil forbrenning;958,0858612
Fyresdal;2013;Avfall og avløp;681,6802962
Fyresdal;2013;Energiforsyning;0
Fyresdal;2013;Industri, olje og gass;0
Fyresdal;2013;Jordbruk;2489,948983
Fyresdal;2013;Luftfart;0,090329192
Fyresdal;2013;Oppvarming;373,3638931
Fyresdal;2013;Sjøfart;0
Fyresdal;2013;Veitrafikk;1359,179015
Fyresdal;2015;Annen mobil forbrenning;1086,712789
Fyresdal;2015;Avfall og avløp;542,177923
Fyresdal;2015;Energiforsyning;0
Fyresdal;2015;Industri, olje og gass;61,34551932
Fyresdal;2015;Jordbruk;2662,85301
Fyresdal;2015;Luftfart;0
Fyresdal;2015;Oppvarming;360,1530632
Fyresdal;2015;Sjøfart;0
Fyresdal;2015;Veitrafikk;1346,439376
Fyresdal;2016;Annen mobil forbrenning;860,2583648
Fyresdal;2016;Avfall og avløp;506,4334158
Fyresdal;2016;Energiforsyning;0
Fyresdal;2016;Industri, olje og gass;60,142666
Fyresdal;2016;Jordbruk;3036,19028
Fyresdal;2016;Luftfart;0
Fyresdal;2016;Oppvarming;346,3363603
Fyresdal;2016;Sjøfart;0
Fyresdal;2016;Veitrafikk;1270,223978
Fyresdal;2017;Annen mobil forbrenning;797,2672666
Fyresdal;2017;Avfall og avløp;457,5319492
Fyresdal;2017;Energiforsyning;0
Fyresdal;2017;Industri, olje og gass;72,1711992
Fyresdal;2017;Jordbruk;3201,763499
Fyresdal;2017;Luftfart;0,013825032
Fyresdal;2017;Oppvarming;332,2717222
Fyresdal;2017;Sjøfart;0
Fyresdal;2017;Veitrafikk;1169,157289
Fyresdal;2018;Annen mobil forbrenning;858,3672301
