År;Fotballanlegg med kunstgress;Fotballanlegg med gress
2000;5;2
2001;6;3
2002;10;6
2003;15;4
2004;16;3
2005;22;4
2006;20;7
2007;23;3
2008;16;0
2009;21;2
2010;11;0
2011;15;0
2012;7;3
2013;8;0
2014;15;1
2015;19;2
2016;9;0
2017;11;0
2018;8;1
2019;9;4
2020;18;2
