Fylke,Andel 2024
Troms og Finnmark,71
Vestfold og Telemark,70
Nordland,70
Møre og Romsdal,69
Trøndelag,68
Viken,67
Innlandet,67
Norge,67
Vestland,66
Oslo,65
Rogaland,64
Agder,64
